S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
27.0,48.75,37.125,49.875,70.875,580.125,28.125,93.0,367.5,233.125,20.125,128.625,180.375,9.375,55.875,10.5,28.125,115.79411764705881,98017.0605536332,68.3875,393.5833333333333,25.96875
30.15,49.05,38.85,51.45,78.45,584.85,28.8,92.75,402.0,257.35,20.8,130.65,187.65,10.2,54.45,11.1,26.1,120.86176470588235,104149.09342560552,70.86,414.7333333333333,25.4625
33.3,49.35,40.575,53.025,86.025,589.575,29.475,92.5,436.5,281.57500000000005,21.475,132.675,194.925,11.024999999999999,53.025,11.7,24.075000000000003,125.92941176470588,110281.12629757784,73.3325,435.8833333333333,24.95625
36.45,49.65,42.3,54.6,93.6,594.3,30.15,92.25,471.0,305.8,22.15,134.7,202.2,11.85,51.6,12.3,22.05,130.99705882352941,116413.15916955016,75.805,457.0333333333333,24.45
39.599999999999994,49.95,44.025,56.175,101.175,599.025,30.825,92.0,505.5,330.025,22.825,136.725,209.47500000000002,12.675,50.175,12.899999999999999,20.025000000000002,136.06470588235294,122545.19204152247,78.2775,478.1833333333333,23.94375
42.75,50.25,45.75,57.75,108.75,603.75,31.5,91.75,540.0,354.25,23.5,138.75,216.75,13.5,48.75,13.5,18.0,141.13235294117646,128677.22491349479,80.75,499.3333333333333,23.4375
44.7,60.525,49.125,55.2,117.825,628.425,32.4,89.35,539.55,354.475,24.0,138.7,215.475,13.725,49.35,15.75,19.95,144.03088235294118,134958.71193771626,82.73,507.48333333333335,24.69375
46.65,70.8,52.5,52.65,126.9,653.1,33.3,86.95,539.1,354.7,24.5,138.65,214.2,13.95,49.95,18.0,21.9,146.9294117647059,141240.1989619377,84.71,515.6333333333333,25.95
48.6,81.075,55.875,50.1,135.975,677.775,34.2,84.55,538.65,354.925,25.0,138.6,212.925,14.175,50.55,20.25,23.85,149.82794117647057,147521.68598615917,86.69,523.7833333333333,27.20625
50.55,91.35,59.25,47.55,145.05,702.45,35.1,82.15,538.2,355.15,25.5,138.55,211.65,14.4,51.15,22.5,25.8,152.7264705882353,153803.17301038062,88.67,531.9333333333334,28.4625
